ReportID,CandidateID,GroupID,Report Name,Election Cycle,Filing Due Date,Filed Date,Amended,Superseded
47409,6016,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47410,6434,,"CE Report 2","2014",6/6/2014,"10/03/2014",F,F
47411,6449,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47413,3256,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47414,6530,,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,F
47415,6162,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47416,5102,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47417,5562,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47418,6559,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47419,6082,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47420,6182,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47421,,1811,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47422,3305,,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,F
47423,6580,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47424,6295,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47425,9766,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47426,19420,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47427,17038,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
