ReportID,CandidateID,GroupID,Report Name,Election Cycle,Filing Due Date,Filed Date,Amended,Superseded
47116,3305,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47117,6164,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47118,6522,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47119,6133,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47120,5099,,"CE Report 1 (Amended)","2014",5/20/2014,"06/05/2014",T,F
47121,5529,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47122,,843,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47123,5944,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47124,5893,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47125,8218,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47126,1252,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47127,6005,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47128,6001,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47129,3962,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47130,6545,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47131,6173,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47132,3962,,"CE Report 3","2014",10/14/2014,"06/05/2014",F,F
47133,3962,,"CE Report 4","2014",10/31/2014,"06/05/2014",F,F
47134,3962,,"CE Report 5","2014",1/15/2015,"06/05/2014",F,F
47135,20585,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47136,6278,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47137,6541,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47138,2001,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47139,4134,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47140,19346,,"CE Report 1 (Amended)","2014",5/20/2014,"06/05/2014",T,F
47141,4852,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47142,198,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47143,6245,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47144,2365,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47145,6262,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47146,4280,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47147,19346,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47148,6462,,"CE Report 3","2014",10/14/2014,"06/05/2014",F,F
47149,6194,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47150,4529,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47151,2365,,"CE Report 1 (Amended)","2014",5/20/2014,"06/05/2014",T,F
47152,6359,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47153,6362,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47154,6316,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47155,4051,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47156,3910,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47157,6102,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47158,6340,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47159,134,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47160,6468,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47161,5388,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47162,6360,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47163,4020,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47164,6007,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47165,1137,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47166,6423,,"CE Report 2","2014",6/6/2014,"06/05/2014",F,F
47167,5248,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47168,3936,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47169,,1364,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47170,6509,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47171,6014,,"CE Report 3","2014",10/14/2014,"06/06/2014",F,F
47172,4425,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47173,6426,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47174,,2263,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47175,6074,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47176,6206,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47177,8274,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47178,3693,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47179,8274,,"CE Report 3","2014",10/14/2014,"06/06/2014",F,F
47180,8274,,"CE Report 4","2014",10/31/2014,"06/06/2014",F,F
47181,6547,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47182,8274,,"CE Report 5","2014",1/15/2015,"06/06/2014",F,F
47184,6547,,"CE Report 2 (Amended)","2014",6/6/2014,"06/06/2014",T,F
47185,6566,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47186,,2398,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47187,5859,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47188,6488,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47189,3902,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47190,,1208,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47191,6472,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47192,4353,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47193,,2115,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47194,6544,,"CE Report 3","2014",10/14/2014,"06/06/2014",F,F
47195,1220,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47196,5914,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47197,6544,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47198,,1600,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47199,6188,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47200,,746,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47201,,2013,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47202,6281,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47203,6171,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47204,,2035,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47205,1565,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47206,6281,,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,F
47207,1956,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47208,,744,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47209,6497,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47210,6269,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47211,6417,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47212,6294,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47213,6029,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47214,6345,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47215,4521,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47216,1891,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47217,,2290,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47218,6249,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47220,6568,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47221,3719,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47222,5209,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47223,,2180,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47224,,728,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47225,2374,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47226,6211,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47227,4897,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47228,6271,,"CE Report 2 (Amended)","2014",6/6/2014,"06/06/2014",T,F
47229,6282,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47230,6560,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47231,286,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47232,1064,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47233,6108,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47234,,1317,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47235,748,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47236,730,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47237,4893,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47238,6264,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47239,6429,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47240,,1643,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47241,5149,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47242,,2298,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47243,6555,,"CE Report 2 (Amended)","2014",6/6/2014,"06/06/2014",T,F
47244,4418,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47245,,1291,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47246,,2289,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47248,4893,,"CE Report 2 (Amended)","2014",6/6/2014,"06/06/2014",T,F
47249,6358,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47250,4893,,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,F
47251,4085,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47252,6199,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47253,6301,,"CE Report 3","2014",10/14/2014,"10/14/2014",F,F
47254,,2289,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,T
47255,,1707,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47256,6342,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47257,5912,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47258,,2353,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47259,6433,,"CE Report 2 (Amended)","2014",6/6/2014,"06/06/2014",T,F
47260,4050,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47261,6433,,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,F
47262,4719,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47263,6088,,"CE Report 3","2014",10/14/2014,"06/06/2014",F,F
47264,6301,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47265,6302,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47266,285,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47268,,850,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47269,6558,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47270,6199,,"CE Report 3","2014",10/14/2014,"06/11/2014",F,F
47271,6199,,"CE Report 5","2014",1/15/2015,"06/11/2014",F,F
47272,6591,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47273,6199,,"CE Report 4","2014",10/31/2014,"06/11/2014",F,F
47275,3880,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47276,6477,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47277,1069,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47278,1209,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47279,5790,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
